"id","transcription","year","month","day"
"igw-26","‎‏פ״ט‏‎ ‎‏האשה החשובה א״ח מר׳ יראת‏‎ ‎‏בת כ׳ מאיר מיכעל משארנסהיים‏‎ ‎‏אשת כ׳ משה פרץ קראמער ע״ה‏‎ ‎‏אשר הלכה כל ימיה בדרך הישר‏‎ ‎‏והטוב נפטר׳ בש״ט יום ש״ק כ״א‏‎ ‎‏תמוז בשנת תרכ״ה לפ״ק בש״ז‏‎ ‎‏תנצב״ה‏‎ Hier ruht in Frieden Johannette Kramer geb. Michel aus Sauer-Schwabenheim, geb. zu Schornsheim d. 25. Mai 1815, gest. 15. Juli 1865. Tief betrauert von ihren Kindern und Verwanden.","1865","7","15"
"igw-27","‎‏פ״ט‏‎ ‎‏זאת מצבת אשת לפידו׳ טוב‏‎ ‎‏שכל וטובה מעשי׳ אם לעניי׳‏‎ ‎‏ואחות לאביוני׳ עטר׳ בעלה‏‎ ‎‏ותפארת בניה היא האשה‏‎ ‎‏הצנועה והגבירה המהוללה‏‎ ‎‏מ׳ קילכה בת כ״ה אשר מק״ק‏‎ ‎‏שפרענדלינגען אש׳ כ״ה מאיר‏‎ ‎‏מזויערשוואבענהיים נפטר׳‏‎ ‎‏י״ט טבת שנ׳ תרכ״ח לפ״ק‏‎ ‎‏תנצב״ה‏‎ Hier ruht Caroline Kramer geb. Schloss aus Sauerschwabenheim gest. d. 15. Jan. 1868. Friede ihrer Asche!","1868","1","14"
"igw-28","Hier ruht in Frieden: Isaak Feibel I [geb.] 1794, gest. 1869 ‎‏פ״ט‏‎ ‎‏הק׳ יצחק בר עליקם‏‎ ‎‏נפטר בשם טוב יום‏‎ ‎‏א׳ כ״ח אייר ונקבר יו[...]‏‎ ‎‏תנצב״ה א״ס‏‎","1869","5","9"
"igw-29","Abraham Mayer geb. im September 1803, gest. im Juni 1870. ‎‏פ״ט‏‎ ‎‏איש ישר ותמים מגזע אמונים‏‎ ‎‏הדריך#״0 בני ביתו בדרך טובים‏‎ ‎‏פרנס ומנהיג כמה ש[נים]‏‎ ‎‏הנהיג עדתו בצדק [ובמישרים]‏‎ ‎‏מה[...]‏‎ ‎‏כ״ה אברה[ם ...]‏‎ ‎‏[...]‏‎ ‎‏[־־־]‏‎","1870","6","10"
"igw-3","[...] und in Frieden Leopold Lazarus aus S. Schwabenheim g[est. ...] Feb. 1851.","1851","2","10"
"igw-30","Hier ruht in Frieden Susanna Feibel geb. Hirsch [geb.] 1799 gest. 1875 ‎‏פ״ט‏‎ ‎‏האשה ח׳ מרת בר[יינכ?]ע‏‎ ‎‏אשת כ״ה יצחק בת [כ״ה]‏‎ ‎‏מאיר הכהן נפטרת בשטו״י‏‎ ‎‏ביום ש״ק כ׳ כסלו ונק׳ ביום ב׳‏‎ ‎‏[...] לפ״ק‏‎ ‎‏[־־־]‏‎","1875","12","18"
"igw-31","","","",""
"igw-32","‎‏פ״ט‏‎ ‎‏[...] ברוך קראמר‏‎ ‎‏[נפט]ר כ״ג אב תרמ״ד לפ״ק‏‎ ‎‏תנצב״ה‏‎ Hier ruht in Frieden Noah Kramer [geb. ... O]kt. 18[..] [---]","1884","8","14"
"igw-33","‎‏פ״נ‏‎ ‎‏גדליהו בר אברהם‏‎ ‎‏נפטר ביום ה׳ כ״ג שבט תרמ״ז‏‎ ‎‏תנצב״ה‏‎ Hier ruht in Frieden Gustav Kramer geb. 19. März 1878 gest. 17. Febr. 1887.","1887","2","17"
"igw-34","Hier ruhet in Frieden: Wilhelm Sauerbach aus Sauerschwabenheim, geb. 9. Jan. 1816, gest. 16. Mai 1889. Tief betrauert von seiner Gattin, Kindern und Enkeln. ‎‏פ״ט‏‎ ‎‏איש תם וישר ירא אלהים‏‎ ‎‏פועל טוב וכשר מעללים‏‎ ‎‏ורודף שלום עד אחריתו‏‎ ‎‏עליו ספדו כל בני ביתו‏‎ ‎‏ה״ה ר׳ זאב המכונה וואלף ב״ר יעקב‏‎ ‎‏ז״ל נפטר יו׳ ה׳ ט״ו אייר תרמ״ט לפ״ק‏‎ ‎‏תנצב״ה‏‎","1889","5","16"
"igw-35","‎‏פ״נ‏‎ ‎‏האשה היקרה והצנועה מרת‏‎ ‎‏רחל בת ר׳ שמואל‏‎ ‎‏אשת ר׳ ואלף זויערבאך‏‎ ‎‏נפטרה ביום ג׳ ד׳ דחה״מ סכות תרנ״ג לפ״ק‏‎ ‎‏תנצב״ה‏‎ Hier ruhet in Frieden Regina Sauerbach geb. Strauss geb. zu Kindenheim 23. Nov. 1829 gest. in Mainz 11. Oct. 1892 Tief betrauert von Kindern und Enkeln.","1892","10","11"
"igw-36","Still u. bescheiden stets im Leben, Seinem Gott stets treu ergeben, Dort wo die Ruhe winkt den Matten, Weilt er in des Höchsten Schatten.","","",""
"igw-37","‎‏פ״נ‏‎ ‎‏איש ירא את ה׳ מנעוריו‏‎ ‎‏שלום ואמת היה במעשיו‏‎ ‎‏רצון אלהים ואנשים עשה‏‎ ‎‏אהה! נלקח ממנו‏‎ ‎‏אברהם ב״ר יעקב‏‎ ‎‏נפטר אור ליום ו׳ י״ד חשון תרנ״ו לפ״ק‏‎ ‎‏תנצב״ה‏‎ Hier ruht in Frieden Abraham Sauerbach geb. zu Sauer-Schwabenheim 11. März 1822, gest. 31. Oktober 1895. Die trauernden Hinterbliebenen.","1895","10","31"
"igw-38","‎‏פ״נ‏‎ ‎‏אשה חשובה ויקרה מרת‏‎ ‎‏שרה בת ר׳ אהרון ז״ל‏‎ ‎‏נפטרה ביום ה׳ ב׳ טבת תרס״ג לפ״ק‏‎ ‎‏תנצב״ה‏‎ Hier ruht in Frieden Sophie Sauerbach geb. Keller geb. zu Lampertheim 1. Novbr. 1845, gest. 1. Januar 1903. Die tieftrauernden Hinterbliebenen.","1903","1","1"
"igw-39","","","",""
"igw-4","‎‏פ״ט‏‎ ‎‏[...]ל‏‎ ‎‏בת כ׳ הירש ז״ל אשת‏‎ ‎‏יוקב מאינגלהיי׳‏‎ ‎‏נפטרה בש״ט ב׳‏‎ ‎‏[־־־]‏‎","","",""
"igw-40","","","",""
"igw-41","‎‏פ״נ‏‎ ‎‏אשה חשובה וצנועה‏‎ ‎‏מ׳ שרה בת יששכר‏‎ ‎‏נפטרה ביום א׳ י״ד שבט [תרנ״ח]‏‎ ‎‏תנצב״ה‏‎ Hier ruht in Frieden Sarah Feibel geb. Hessel Ehef. d. Isaac Feibel geb. 12. Mai 1821, gest. 6. Febr. 1898.","1898","2","6"
"igw-42","‎‏פ״נ‏‎ ‎‏איש זקן ושבע ימים‏‎ ‎‏ר׳ יצחק ב״ר אליקום‏‎ ‎‏[נפטר עש״ק ז׳ אב תרנ״ט]‏‎ ‎‏[תנצב״ה‏‎]‏‎ Hier ruht in Frieden Isaak Feibel II geb. 2. Juni 1824, gest. 14. Juli 1899.","1899","7","14"
"igw-43","‎‏פ״נ‏‎ ‎‏איש תם וישר וירא אלהים‏‎ ‎‏פועל טוב ורודף שלום עד אחריתו‏‎ ‎‏ה״ה אליקום בר יצחק‏‎ ‎‏נפטר ביום כ׳ אדר תר״ס לפ״ק‏‎ ‎‏תנצב״ה‏‎ Hier ruht in Frieden Isaak Mayer Feibel geb. 27. März 1827, gest. 19. Februar 1900.","1900","2","19"
"igw-44","Babette Feibel geb. Blatt","1911","11","25"
"igw-45","‎‏פ״ט‏‎ ‎‏[־־־]‏‎","","",""
"igw-46","‎‏פ״ט‏‎ ‎‏האשה חשוב[ה]‏‎ ‎‏[־־־]‏‎","","",""
"igw-47","","","",""
"igw-5","‎‏פ״נ‏‎ ‎‏[...]‏‎ ‎‏[...]‏‎ ‎‏משה מ[...]‏‎ ‎‏מ[...] תק[.]״ח לפ״ק‏‎ ‎‏איש ישר הלך‏‎ ‎‏כל ימיו דרך‏‎ ‎‏[טובים? ...]‏‎ ‎‏[־־־]‏‎","","",""
"igw-6","‎‏פ״ט‏‎ ‎‏איש יקר ונכבד זקן ושבע ימי׳‏‎ ‎‏ירא אלהים וסר מרע ה״ה כמר‏‎ ‎‏יעקב קאפל בן כ׳ זאב זצ״ל‏‎ ‎‏מזויערשוואבענהיים הלך‏‎ ‎‏תמים ופעל צדק והדרי׳ את‏‎ ‎‏בניו בדרך השם לעשו׳ צדק׳‏‎ ‎‏ומשפט נפטר ביו׳ ג׳ א׳ דר״ח‏‎ ‎‏מרחשון ונקבר בכבוד ביו׳‏‎ ‎‏ד׳ ב׳ דר״ח תרכ״א לפ״ק תנצב״ה‏‎ Jacob Sauerbach aus Sauerschwabenheim geb. im Jahr 5534, gest. am Ersten Neumonds tag Marcheswan (16. Oct.) 5621.","1860","10","16"
"igw-7","‎‏[...]‏‎ ‎‏[...] וישרה [...]ל היא‏‎ ‎‏[...] וגמלה‏‎ ‎‏[חסד ...]‏‎ ‎‏[...]‏‎ ‎‏[...]‏‎ ‎‏[...] שלמה? נולדה‏‎ ‎‏[...] ניסן תקנ״ה לפ״ק נפטר׳ יום‏‎ ‎‏[ג׳ כ״ו ס]יון ונקבר יום ה׳ כ״ח סיון‏‎ ‎‏תרי״ט לפ״ק‏‎ ‎‏[...]‏‎","1859","6","28"
"igw-8","","","",""
"igw-9","","","",""
